Region,SearchInterest
Vermont,100
Maine,90
Wyoming,87
Alaska,83
Montana,80
North Dakota,78
New Hampshire,65
Kentucky,57
West Virginia,55
Michigan,54
South Dakota,52
Idaho,51
Iowa,48
Washington,47
Nebraska,45
North Carolina,43
Alabama,43
Ohio,43
Mississippi,43
Tennessee,42
Indiana,42
Colorado,42
Wisconsin,42
Minnesota,40
Missouri,40
Pennsylvania,40
New Mexico,39
South Carolina,38
Arkansas,37
Utah,37
Massachusetts,36
Delaware,35
Rhode Island,34
New York,34
Oklahoma,34
Illinois,33
Connecticut,32
Oregon,30
Georgia,29
District of Columbia,29
Kansas,28
Virginia,28
New Jersey,27
Maryland,25
Louisiana,24
Nevada,21
California,20
Texas,20
Arizona,19
Hawaii,11
Florida,11
