Region,SearchInterest
Mississippi,100
Alabama,86
North Dakota,84
Georgia,79
Montana,77
Kentucky,75
South Dakota,73
Iowa,70
West Virginia,68
Wisconsin,68
Vermont,66
North Carolina,63
Indiana,60
Louisiana,59
Tennessee,57
Maine,54
Arkansas,52
Minnesota,49
Michigan,49
Nebraska,48
Missouri,48
New Hampshire,48
Texas,45
Idaho,45
New Mexico,44
Utah,44
South Carolina,40
Rhode Island,40
Delaware,39
Illinois,39
Virginia,38
Oklahoma,37
Washington,37
Pennsylvania,36
Florida,35
Kansas,34
Arizona,32
Connecticut,32
Alaska,31
Colorado,31
Maryland,30
Ohio,28
District of Columbia,28
Massachusetts,27
Nevada,27
New Jersey,26
New York,23
California,23
Oregon,21
Hawaii,21
