Region,SearchInterest
New York,100
District of Columbia,71
New Jersey,68
Maryland,67
California,61
Rhode Island,58
Delaware,54
Massachusetts,52
Pennsylvania,52
Nevada,48
Connecticut,48
Illinois,48
Utah,47
Washington,43
Virginia,43
Hawaii,42
Florida,41
Georgia,39
Arizona,38
Colorado,36
Texas,36
Ohio,36
Louisiana,35
North Carolina,35
Michigan,34
Idaho,34
Minnesota,33
Indiana,32
Missouri,32
Vermont,31
Wisconsin,30
Nebraska,30
South Carolina,30
Maine,29
Alaska,29
New Mexico,29
Alabama,29
Tennessee,28
Kentucky,27
New Hampshire,27
Oregon,27
Oklahoma,27
Mississippi,27
Montana,25
Iowa,24
North Dakota,24
West Virginia,23
Wyoming,23
Kansas,23
Arkansas,23
South Dakota,22
