Region,SearchInterest
Ohio,100
California,94
New York,73
Nevada,65
Mississippi,63
Maryland,60
Louisiana,58
Rhode Island,58
District of Columbia,58
Vermont,56
Illinois,56
Washington,56
Michigan,55
New Jersey,53
Colorado,53
Massachusetts,52
Delaware,51
Montana,50
New Mexico,49
Virginia,49
Georgia,49
Hawaii,49
Arkansas,49
Oregon,48
New Hampshire,48
Arizona,48
Texas,48
Pennsylvania,47
Connecticut,46
Alabama,46
North Carolina,46
Wyoming,46
South Carolina,45
Florida,44
Tennessee,44
Maine,43
Minnesota,43
Oklahoma,43
Utah,42
Indiana,42
Missouri,42
Wisconsin,41
Idaho,41
Kentucky,41
Kansas,39
Nebraska,39
Alaska,38
West Virginia,38
Iowa,35
North Dakota,33
South Dakota,32
