Region,SearchInterest
Minnesota,100
Massachusetts,98
Hawaii,93
California,87
Washington,85
Vermont,77
Illinois,75
Michigan,75
Connecticut,72
Colorado,70
Arizona,65
North Dakota,65
New York,64
Utah,64
District of Columbia,64
New Hampshire,62
Rhode Island,62
Missouri,62
Oklahoma,60
Montana,59
Nevada,58
Alaska,56
New Jersey,54
Wisconsin,54
Ohio,53
Idaho,52
Maryland,50
Pennsylvania,50
Nebraska,49
Maine,49
Texas,47
Alabama,47
Iowa,46
Wyoming,46
Tennessee,43
Delaware,42
Louisiana,42
Kentucky,42
North Carolina,41
Florida,41
Indiana,39
Virginia,38
South Dakota,38
South Carolina,38
Georgia,37
New Mexico,36
Kansas,34
Arkansas,33
Mississippi,32
Oregon,27
West Virginia,22
