Name,2017 Population
California,39849872
Texas,28449186
Florida,21002678
New York,19889657
Pennsylvania,12819975
Illinois,12815607
Ohio,11646273
Georgia,10450316
North Carolina,10247632
Michigan,9935116
New Jersey,8996351
Virginia,8492783
Washington,7384721
Arizona,7026629
Massachusetts,6873018
Tennessee,6705339
Indiana,6663280
Missouri,6123362
Maryland,6068511
Wisconsin,5795147
Colorado,5658546
Minnesota,5554532
South Carolina,5030118
Alabama,4884115
Louisiana,4714192
Kentucky,4450042
Oregon,4144527
Oklahoma,3974794
Connecticut,3583134
Iowa,3152735
Utah,3098761
Arkansas,3000942
Nevada,2995973
Mississippi,2990113
Kansas,2929909
New Mexico,2084193
Nebraska,1922610
West Virginia,1834882
Idaho,1695178
Hawaii,1454295
New Hampshire,1335832
Maine,1327472
Rhode Island,1059080
Montana,1052343
Delaware,965866
South Dakota,868799
North Dakota,790701
Alaska,741204
District of Columbia,697012
Vermont,624592
Wyoming,589713
