Region,SearchInterest
New York,100
Mississippi,89
New Jersey,78
Louisiana,73
Connecticut,69
Alabama,66
Delaware,66
South Carolina,63
Georgia,63
Maryland,61
District of Columbia,61
North Carolina,57
Florida,56
Pennsylvania,54
Tennessee,54
Massachusetts,54
Rhode Island,53
Arkansas,53
Illinois,50
Texas,50
Kentucky,49
Virginia,48
Oklahoma,43
Michigan,42
New Hampshire,40
Vermont,40
Missouri,40
California,39
West Virginia,38
Ohio,37
Indiana,37
Maine,32
Nevada,32
Minnesota,32
Arizona,31
Colorado,31
Nebraska,31
Kansas,30
Hawaii,30
Wisconsin,29
Iowa,27
New Mexico,27
Washington,25
Wyoming,24
North Dakota,24
South Dakota,22
Utah,21
Montana,21
Alaska,20
Idaho,18
Oregon,14
