Region,SearchInterest
New York,100
California,65
New Jersey,58
Nevada,56
Illinois,50
Rhode Island,50
Maryland,50
District of Columbia,49
Hawaii,49
Connecticut,48
Massachusetts,45
Washington,39
Delaware,38
Vermont,38
Pennsylvania,37
Virginia,33
Louisiana,31
Florida,30
Georgia,30
Arizona,28
Michigan,27
Texas,27
Ohio,27
Indiana,27
New Hampshire,27
Maine,26
Minnesota,26
North Carolina,25
Missouri,25
Utah,25
Alabama,24
Wisconsin,23
Tennessee,23
South Carolina,23
Iowa,22
Mississippi,22
Oregon,21
Arkansas,21
Oklahoma,21
Colorado,21
Kentucky,21
Nebraska,20
Alaska,20
Montana,19
South Dakota,18
New Mexico,18
Wyoming,18
West Virginia,17
Kansas,17
North Dakota,17
Idaho,17
